,url,title,time,views,tags,hub,bookmarks,comments,title_lemma,tags_lemma,lemma_hub,year,month,day
174,https://habr.com/ru/articles/422373/,"['приглашаем', 'на', 'митапы', 'по', 'open', 'source', 'в', 'сентябре', 'москва', 'и', 'санкт', 'петербург']",2018-09-06 06:00:01+00:00,19000,"['митап', 'apache', 'spark', 'open source', 'блог компании сбер', 'apache', 'open source', 'карьера в it-индустрии', 'конференции']","['блог компании сбер', 'apache', 'open source', 'карьера в itиндустрии', 'конференции']",4,0,"['приглашать', 'митапы', 'open', 'source', 'сентябрь', 'москва', 'санкт', 'петербург']","['митап', 'apache', 'spark', 'open', 'source', 'блог', 'компания', 'сбер', 'apache', 'open', 'source', 'карьера', 'it', '-', 'индустрия', 'конференция']","['блог', 'компания', 'сбер', 'apache', 'open', 'source', 'карьера', 'itиндустрии', 'конференция']",2018,9,6
175,https://habr.com/ru/articles/424739/,"['регистрация', 'событий', 'при', 'помощи', 'kafka']",2018-09-28 11:36:10+00:00,11000,"['kafka', 'streaming', 'scala', 'java', 'big data', 'книги', 'высокая производительность', 'базы данных', 'блог компании издательский дом «питер»', 'java', 'высокая производительность', 'профессиональная литература']","['блог компании издательский дом питер', 'java', 'высокая производительность', 'профессиональная литература']",82,1,"['регистрация', 'событие', 'помощь', 'kafka']","['kafka', 'streaming', 'scala', 'java', 'big', 'data', 'книга', 'высокий', 'производительность', 'база', 'данных', 'блог', 'компания', 'издательский', 'дом', '""', 'питер', '""', 'java', 'высокий', 'производительность', 'профессиональный', 'литература']","['блог', 'компания', 'издательский', 'дом', 'питер', 'java', 'высокий', 'производительность', 'профессиональный', 'литература']",2018,9,28
176,https://habr.com/ru/articles/425503/,"['cassandra', 'sink', 'для', 'spark', 'structured', 'streaming']",2018-10-05 16:01:33+00:00,42000,"['scala', 'spark', 'spark streaming', 'cassandra', 'apache', 'big data', 'scala']","['apache', 'big data', 'scala']",19,0,"['cassandra', 'sink', 'spark', 'structured', 'streaming']","['scala', 'spark', 'spark', 'streaming', 'cassandra', 'apache', 'big', 'data', 'scala']","['apache', 'big', 'data', 'scala']",2018,10,5
177,https://habr.com/ru/articles/425703/,"['kafka', 'в', 'wargaming', 'блицопрос']",2018-10-12 11:31:24+00:00,78000,"['kafka', 'moscow python conf++', 'блог компании конференции олега бунина (онтико)', 'it-инфраструктура', 'python', 'серверное администрирование', 'хранилища данных']","['блог компании конференции олега бунина онтико', 'itинфраструктура', 'python', 'серверное администрирование', 'хранилища данных']",22,0,"['kafka', 'wargaming', 'блицопрос']","['kafka', 'moscow', 'python', 'conf++', 'блог', 'компания', 'конференция', 'олег', 'бунин', '(', 'онтико', ')', 'it', '-', 'инфраструктура', 'python', 'серверный', 'администрирование', 'хранилище', 'данных']","['блог', 'компания', 'конференция', 'олег', 'бунин', 'онтико', 'itинфраструктура', 'python', 'серверный', 'администрирование', 'хранилище', 'данных']",2018,10,12
178,https://habr.com/ru/articles/427297/,"['apache', 'ignite', 'apache', 'spark', 'data', 'frames', 'вместе', 'веселее']",2018-10-24 13:12:36+00:00,7000,"['ignite', 'spark', 'java', 'open source', 'блог компании сбер', 'api', 'apache', 'open source', 'scala']","['блог компании сбер', 'api', 'apache', 'open source', 'scala']",36,3,"['apache', 'ignite', 'apache', 'spark', 'data', 'frames', 'вместе', 'весёлый']","['ignite', 'spark', 'java', 'open', 'source', 'блог', 'компания', 'сбер', 'api', 'apache', 'open', 'source', 'scala']","['блог', 'компания', 'сбер', 'api', 'apache', 'open', 'source', 'scala']",2018,10,24
179,https://habr.com/ru/articles/428103/,"['митап', 'в', 'петербурге', 'data', 'engineering', 'и', 'не', 'только']",2018-10-29 10:37:17+00:00,29000,"['wrike', 'wriketechclub', 'data', 'spark', 'apache spark', 'блог компании wrike', 'big data', 'data mining', 'it-инфраструктура', 'визуализация данных']","['блог компании wrike', 'big data', 'data mining', 'itинфраструктура', 'визуализация данных']",4,3,"['митап', 'петербург', 'data', 'engineering']","['wrike', 'wriketechclub', 'data', 'spark', 'apache', 'spark', 'блог', 'компания', 'wrike', 'big', 'data', 'data', 'mining', 'it', '-', 'инфраструктура', 'визуализация', 'данных']","['блог', 'компания', 'wrike', 'big', 'data', 'data', 'mining', 'itинфраструктура', 'визуализация', 'данных']",2018,10,29
180,https://habr.com/ru/articles/429154/,"['посекундный', 'биллинг', 'маркетплейс', 'и', 'песочницы', 'для', 'big', 'data', 'что', 'могут', 'тестовые', 'среды', 'в', 'облаке']",2018-11-13 06:49:48+00:00,46000,"['terraform', 'kubernetes', 'hadoop', 'spark', 'openstack', 'docker', 'тестовые среды', 'devops', 'infrastructure as code', 'mail.ru cloud solutions', 'блог компании vk', 'big data', 'облачные сервисы', 'тестирование it-систем']","['блог компании vk', 'big data', 'облачные сервисы', 'тестирование itсистем']",20,9,"['посекундный', 'биллинг', 'маркетплейс', 'песочница', 'big', 'data', 'тестовый', 'среда', 'облаке']","['terraform', 'kubernetes', 'hadoop', 'spark', 'openstack', 'docker', 'тестовый', 'среда', 'devops', 'infrastructure', 'as', 'code', 'mail.ru', 'cloud', 'solutions', 'блог', 'компания', 'vk', 'big', 'data', 'облачный', 'сервис', 'тестирование', 'it', '-', 'система']","['блог', 'компания', 'vk', 'big', 'data', 'облачный', 'сервис', 'тестирование', 'itсистем']",2018,11,13
181,https://habr.com/ru/articles/430374/,"['data', 'engineering', 'и', 'не', 'только', 'видеозаписи', 'и', 'слайды', 'с', 'митапа', 'в', 'wrike']",2018-11-20 10:26:45+00:00,31000,"['wrike', 'wriketechclub', 'data engineering', 'data science', 'spark', 'airflow', 'big data', 'блог компании wrike', 'big data', 'data engineering', 'data mining', 'конференции']","['блог компании wrike', 'big data', 'data engineering', 'data mining', 'конференции']",28,0,"['data', 'engineering', 'видеозапись', 'слайд', 'митапа', 'wrike']","['wrike', 'wriketechclub', 'data', 'engineering', 'data', 'science', 'spark', 'airflow', 'big', 'data', 'блог', 'компания', 'wrike', 'big', 'data', 'data', 'engineering', 'data', 'mining', 'конференция']","['блог', 'компания', 'wrike', 'big', 'data', 'data', 'engineering', 'data', 'mining', 'конференция']",2018,11,20
182,https://habr.com/ru/articles/431954/,"['бывший', 'вице', 'президент', 'sun', 'и', 'dec', 'стал', 'президентом', 'mips', 'wave', 'говорит', 'о', 'россии', 'и', 'risc', 'v']",2018-12-03 20:57:19+00:00,31000,"['mips', 'sun', 'spark', 'искусственный интеллект', 'мцст', 'wave computing', 'процессоры', 'digital equipment', 'cirrus logic', 'биографии гиков', 'будущее здесь', 'высокая производительность', 'искусственный интеллект', 'параллельное программирование']","['биографии гиков', 'будущее здесь', 'высокая производительность', 'искусственный интеллект', 'параллельное программирование']",11,10,"['бывший', 'вице', 'президент', 'sun', 'dec', 'стать', 'президент', 'mips', 'wave', 'говорить', 'россия', 'risc', 'v']","['mips', 'sun', 'spark', 'искусственный', 'интеллект', 'мцст', 'wave', 'computing', 'процессор', 'digital', 'equipment', 'cirrus', 'logic', 'биография', 'гик', 'будущее', 'высокий', 'производительность', 'искусственный', 'интеллект', 'параллельный', 'программирование']","['биография', 'гик', 'будущее', 'высокий', 'производительность', 'искусственный', 'интеллект', 'параллельный', 'программирование']",2018,12,3
183,https://habr.com/ru/articles/435346/,"['подписываемся', 'на', 'kafka', 'по', 'http', 'или', 'как', 'упростить', 'себе', 'веб', 'хуки']",2019-01-07 13:35:54+00:00,16000,"['kafka', 'http', 'kotlin', 'pub-sub', 'kotlin', 'программирование']","['kotlin', 'программирование']",52,6,"['подписываемся', 'kafka', 'http', 'упростить', 'веб', 'хуки']","['kafka', 'http', 'kotlin', 'pub', '-', 'sub', 'kotlin', 'программирование']","['kotlin', 'программирование']",2019,1,7
